Time: 08.07.2022 13:57:23;;;
Team: test;;;
Athlete name: Lasse I;;;
Device: NORDIC07;;;
Comment: ;;;
#SampleTime[s];Force_left[N];Force_right[N];
111.060;185.62;0.05;
111.070;186.07;-0.43;
111.080;186.50;-0.83;
111.090;186.49;-0.96;
111.100;186.58;-1.00;
111.110;186.27;-0.59;
111.120;186.06;-0.58;
111.130;185.75;-0.33;
111.140;185.50;-0.26;
111.150;185.70;-0.22;
111.160;185.36;-0.07;
111.170;185.08;0.23;
111.180;184.95;0.26;
111.190;184.73;0.52;
111.200;184.12;0.86;
111.210;183.95;0.99;
111.220;183.97;0.99;
111.230;184.24;0.64;
111.240;184.70;0.51;
111.250;184.65;0.25;
111.260;184.95;0.05;
111.270;185.50;-0.48;
111.280;185.75;-0.73;
111.290;185.81;-0.90;
111.300;185.82;-0.84;
111.310;185.41;-0.77;
111.320;185.12;-0.42;
111.330;184.76;-0.41;
111.340;184.65;-0.34;
111.350;184.69;-0.10;
111.360;184.50;-0.14;
111.370;184.17;0.15;
111.380;184.13;0.02;
111.390;183.99;0.33;
111.400;183.48;0.72;
111.410;183.21;1.18;
111.420;183.09;1.23;
111.430;183.62;0.60;
111.440;184.12;0.40;
111.450;184.32;0.25;
111.460;184.77;-0.06;
111.470;185.30;-0.35;
111.480;185.71;-0.79;
111.490;185.92;-1.01;
111.500;185.70;-0.87;
111.510;185.70;-0.62;
111.520;185.37;-0.47;
111.530;184.99;-0.40;
111.540;185.04;-0.17;
111.550;185.12;-0.09;
111.560;184.87;0.01;
111.570;184.48;0.29;
111.580;184.51;0.13;
111.590;184.30;0.44;
111.600;183.95;1.03;
111.610;183.51;1.10;
111.620;183.56;1.08;
111.630;184.15;0.73;
111.640;184.52;0.42;
111.650;184.59;0.17;
111.660;185.13;-0.07;
111.670;185.68;-0.43;
111.680;185.93;-0.67;
111.690;186.17;-0.73;
111.700;186.21;-0.82;
111.710;185.81;-0.67;
111.720;185.54;-0.38;
111.730;185.52;-0.39;
111.740;185.07;-0.31;
111.750;185.05;-0.16;
111.760;184.82;-0.09;
111.770;184.41;0.02;
111.780;184.31;0.23;
111.790;184.17;0.53;
111.800;183.58;0.66;
111.810;182.92;1.02;
111.820;183.17;1.10;
111.830;183.47;0.80;
111.840;183.91;0.32;
111.850;184.10;0.17;
111.860;184.21;0.03;
111.870;184.75;-0.42;
111.880;185.13;-0.82;
111.890;185.28;-0.97;
111.900;185.31;-0.88;
111.910;184.93;-0.67;
111.920;184.52;-0.54;
111.930;184.32;-0.35;
111.940;183.90;-0.22;
111.950;183.88;-0.32;
111.960;183.67;-0.02;
111.970;183.48;0.05;
111.980;183.13;0.20;
111.990;182.87;0.45;
112.000;182.36;0.70;
112.010;182.00;1.07;
112.020;182.15;1.07;
112.030;182.34;0.68;
112.040;183.00;0.49;
112.050;182.99;0.27;
112.060;183.35;-0.05;
112.070;184.00;-0.54;
112.080;184.22;-0.70;
112.090;184.62;-0.77;
112.100;184.51;-0.97;
112.110;184.24;-0.80;
112.120;183.92;-0.67;
112.130;183.89;-0.44;
112.140;183.83;-0.12;
112.150;183.35;-0.11;
112.160;183.52;-0.18;
112.170;183.31;0.18;
112.180;183.11;0.14;
112.190;183.17;0.45;
112.200;182.89;0.72;
112.210;182.38;0.90;
112.220;182.42;0.98;
112.230;182.90;0.72;
112.240;183.40;0.52;
112.250;183.70;0.11;
112.260;183.94;0.08;
112.270;184.58;-0.43;
112.280;185.10;-0.92;
112.290;185.39;-0.82;
112.300;185.27;-0.87;
112.310;185.07;-0.79;
112.320;184.83;-0.56;
112.330;184.63;-0.51;
112.340;184.57;-0.34;
112.350;184.72;-0.25;
112.360;184.36;-0.06;
112.370;184.27;0.19;
112.380;184.05;0.32;
112.390;183.88;0.50;
112.400;183.75;0.64;
112.410;183.21;0.99;
112.420;183.30;1.18;
112.430;183.82;0.85;
112.440;184.38;0.34;
112.450;184.64;0.17;
112.460;185.17;-0.04;
112.470;185.57;-0.55;
112.480;185.88;-0.71;
112.490;186.26;-0.86;
112.500;186.06;-0.88;
112.510;185.90;-0.69;
112.520;185.75;-0.52;
112.530;185.47;-0.48;
112.540;185.55;-0.31;
112.550;185.27;-0.13;
112.560;185.22;-0.04;
112.570;185.05;0.08;
112.580;184.64;0.24;
112.590;184.40;0.49;
112.600;183.89;0.61;
112.610;183.39;1.11;
112.620;183.39;1.10;
112.630;183.54;0.68;
112.640;183.75;0.34;
112.650;183.94;0.22;
112.660;183.92;-0.08;
112.670;184.24;-0.51;
112.680;184.26;-0.79;
112.690;184.33;-1.06;
112.700;184.12;-0.89;
112.710;183.67;-0.65;
112.720;183.33;-0.61;
112.730;182.92;-0.24;
112.740;182.56;-0.25;
112.750;182.34;-0.46;
112.760;181.95;-0.08;
112.770;181.60;0.17;
112.780;181.25;0.40;
112.790;180.92;0.36;
112.800;180.49;0.75;
112.810;180.14;0.99;
112.820;179.98;1.06;
112.830;180.17;0.90;
112.840;180.64;0.39;
112.850;180.62;0.25;
112.860;181.10;-0.07;
112.870;181.61;-0.42;
112.880;181.92;-0.67;
112.890;181.99;-1.00;
112.900;181.88;-0.90;
112.910;181.77;-0.54;
112.920;181.56;-0.53;
112.930;181.29;-0.53;
112.940;181.24;-0.25;
112.950;181.05;-0.19;
112.960;180.80;-0.19;
112.970;180.69;0.25;
112.980;180.50;0.37;
112.990;180.47;0.46;
113.000;179.99;0.79;
113.010;179.48;1.06;
113.020;179.58;1.09;
113.030;180.10;0.71;
113.040;180.73;0.33;
113.050;181.06;0.27;
113.060;181.28;-0.07;
113.070;181.91;-0.42;
113.080;182.43;-0.77;
113.090;182.69;-0.86;
113.100;182.72;-0.90;
113.110;182.65;-0.84;
113.120;182.50;-0.63;
113.130;182.46;-0.46;
113.140;182.44;-0.32;
113.150;182.40;-0.14;
113.160;182.40;0.06;
113.170;182.39;0.01;
113.180;182.49;0.28;
113.190;182.39;0.33;
113.200;182.16;0.83;
113.210;182.00;0.94;
113.220;181.87;1.08;
113.230;182.39;0.78;
113.240;183.14;0.40;
113.250;183.29;0.27;
113.260;183.72;-0.08;
113.270;184.51;-0.36;
113.280;184.98;-0.83;
113.290;185.29;-0.74;
113.300;185.22;-0.79;
113.310;185.05;-0.47;
113.320;184.95;-0.70;
113.330;184.76;-0.52;
113.340;184.87;-0.32;
113.350;184.49;-0.37;
113.360;184.58;0.04;
113.370;184.52;0.07;
113.380;184.36;0.23;
113.390;184.11;0.42;
113.400;183.57;0.71;
113.410;183.43;0.90;
113.420;183.30;1.03;
113.430;183.61;0.73;
113.440;183.94;0.29;
113.450;184.03;0.25;
113.460;184.29;0.07;
113.470;184.80;-0.48;
113.480;184.81;-0.74;
113.490;184.86;-0.81;
113.500;184.63;-0.72;
113.510;184.34;-0.71;
113.520;184.03;-0.63;
113.530;183.80;-0.36;
113.540;183.29;-0.13;
113.550;183.09;-0.13;
113.560;182.80;-0.28;
113.570;182.24;0.14;
113.580;182.02;0.38;
113.590;181.66;0.36;
113.600;181.24;0.63;
113.610;180.67;0.98;
113.620;180.63;1.18;
113.630;180.79;0.85;
113.640;181.31;0.20;
113.650;181.20;0.12;
113.660;181.55;-0.17;
113.670;182.03;-0.39;
113.680;182.32;-0.66;
113.690;182.49;-0.98;
113.700;182.22;-0.91;
113.710;181.86;-0.67;
113.720;181.72;-0.39;
113.730;181.58;-0.43;
113.740;181.23;-0.12;
113.750;181.30;-0.30;
113.760;181.03;-0.07;
113.770;181.03;0.07;
113.780;180.72;0.13;
113.790;180.84;0.45;
113.800;180.58;0.68;
113.810;180.24;1.10;
113.820;180.45;1.17;
113.830;180.80;0.73;
113.840;181.48;0.31;
113.850;181.90;0.26;
113.860;182.46;-0.04;
113.870;183.08;-0.34;
113.880;183.56;-0.74;
113.890;183.87;-0.71;
113.900;184.27;-0.72;
113.910;184.31;-0.58;
113.920;184.26;-0.60;
113.930;184.40;-0.38;
113.940;184.39;-0.07;
113.950;184.46;-0.16;
113.960;184.60;0.04;
113.970;184.61;0.21;
113.980;184.83;0.44;
113.990;184.72;0.29;
114.000;184.44;0.59;
114.010;184.45;0.97;
114.020;184.36;1.13;
114.030;184.99;0.82;
114.040;185.56;0.34;
114.050;185.80;0.21;
114.060;186.54;-0.07;
114.070;187.02;-0.37;
114.080;187.57;-0.73;
114.090;187.75;-0.97;
114.100;187.64;-0.97;
114.110;187.53;-0.65;
114.120;187.11;-0.38;
114.130;187.07;-0.23;
114.140;186.74;-0.14;
114.150;186.43;-0.07;
114.160;186.44;-0.08;
114.170;186.07;0.05;
114.180;185.67;0.21;
114.190;185.41;0.26;
114.200;184.88;0.69;
114.210;184.14;0.97;
114.220;184.02;1.11;
114.230;184.15;0.90;
114.240;184.44;0.35;
114.250;184.28;0.25;
114.260;184.49;-0.02;
114.270;185.05;-0.51;
114.280;184.97;-0.78;
114.290;185.26;-0.90;
114.300;184.92;-0.90;
114.310;184.86;-0.73;
114.320;184.37;-0.41;
114.330;184.01;-0.28;
114.340;183.68;-0.28;
114.350;183.51;-0.16;
114.360;183.48;-0.07;
114.370;182.86;0.09;
114.380;182.79;0.23;
114.390;182.20;0.32;
114.400;181.81;0.74;
114.410;181.22;1.14;
114.420;181.03;0.96;
114.430;181.33;0.68;
114.440;181.68;0.45;
114.450;181.90;0.21;
114.460;181.91;0.03;
114.470;182.50;-0.51;
114.480;182.81;-0.82;
114.490;182.89;-0.87;
114.500;182.73;-0.89;
114.510;182.48;-0.68;
114.520;182.27;-0.65;
114.530;182.01;-0.41;
114.540;181.84;-0.25;
114.550;181.67;-0.24;
114.560;181.82;-0.25;
114.570;181.64;0.05;
114.580;181.35;0.39;
114.590;181.22;0.38;
114.600;180.98;0.83;
114.610;180.82;1.03;
114.620;181.02;1.04;
114.630;181.30;0.80;
114.640;181.84;0.37;
114.650;182.16;0.32;
114.660;182.35;-0.00;
114.670;182.95;-0.46;
114.680;183.30;-0.64;
114.690;183.91;-0.97;
114.700;183.86;-0.84;
114.710;183.80;-0.64;
114.720;183.60;-0.65;
114.730;183.37;-0.42;
114.740;183.35;-0.13;
114.750;183.45;-0.25;
114.760;183.48;-0.20;
114.770;183.18;0.19;
114.780;183.39;0.24;
114.790;183.15;0.46;
114.800;182.74;0.70;
114.810;182.68;1.00;
114.820;182.89;1.10;
114.830;183.33;0.67;
114.840;183.99;0.24;
114.850;184.21;0.33;
114.860;184.65;0.09;
114.870;185.26;-0.32;
114.880;185.64;-0.71;
114.890;186.06;-1.00;
114.900;186.17;-0.91;
114.910;185.81;-0.86;
114.920;185.57;-0.65;
114.930;185.45;-0.34;
114.940;185.15;-0.38;
114.950;185.19;-0.24;
114.960;185.11;0.02;
114.970;184.98;0.01;
114.980;184.50;0.30;
114.990;184.28;0.39;
115.000;183.84;0.67;
115.010;183.34;1.03;
115.020;183.33;1.10;
115.030;183.88;0.68;
115.040;184.39;0.54;
115.050;184.54;0.36;
115.060;184.85;-0.15;
115.070;185.01;-0.35;
115.080;185.66;-0.66;
115.090;185.81;-0.81;
115.100;185.72;-0.83;
115.110;185.44;-0.71;
115.120;185.22;-0.61;
115.130;184.94;-0.39;
115.140;184.72;-0.34;
115.150;184.73;-0.29;
115.160;184.26;-0.02;
115.170;184.15;0.14;
115.180;183.94;0.19;
115.190;183.65;0.48;
115.200;183.33;0.77;
115.210;182.87;1.12;
115.220;182.89;1.11;
115.230;183.16;0.75;
115.240;183.54;0.56;
115.250;183.86;0.24;
115.260;184.01;0.01;
115.270;184.60;-0.43;
115.280;184.90;-0.54;
115.290;185.05;-0.79;
115.300;185.05;-0.91;
115.310;184.80;-0.80;
115.320;184.60;-0.60;
115.330;184.35;-0.22;
115.340;184.41;-0.33;
115.350;184.23;-0.13;
115.360;184.21;-0.18;
115.370;184.16;-0.14;
115.380;183.94;0.14;
115.390;183.92;0.45;
115.400;183.54;0.74;
115.410;183.40;0.94;
115.420;183.38;0.98;
115.430;183.68;0.77;
115.440;184.37;0.55;
115.450;184.67;0.16;
115.460;185.20;0.13;
115.470;185.67;-0.24;
115.480;186.27;-0.70;
115.490;186.62;-1.03;
115.500;186.65;-0.90;
115.510;186.57;-0.54;
115.520;186.37;-0.60;
115.530;186.48;-0.54;
115.540;186.40;-0.34;
115.550;186.41;-0.27;
115.560;186.33;-0.04;
115.570;186.27;0.14;
115.580;186.32;0.19;
115.590;186.28;0.45;
115.600;185.75;0.70;
115.610;185.42;1.01;
115.620;185.47;1.10;
115.630;185.62;0.78;
115.640;186.32;0.31;
115.650;186.35;0.26;
115.660;186.52;0.02;
115.670;187.07;-0.36;
115.680;187.20;-0.66;
115.690;187.45;-0.65;
115.700;187.46;-0.81;
115.710;187.14;-0.75;
115.720;186.85;-0.59;
115.730;186.45;-0.51;
115.740;186.12;-0.18;
115.750;185.96;-0.26;
115.760;185.69;-0.17;
115.770;185.24;0.07;
115.780;184.98;0.28;
115.790;184.56;0.21;
115.800;184.09;0.60;
115.810;183.55;0.93;
115.820;183.13;1.06;
115.830;183.48;0.79;
115.840;183.77;0.57;
115.850;183.82;0.39;
115.860;183.87;-0.09;
115.870;184.14;-0.38;
115.880;184.38;-0.75;
115.890;184.37;-0.85;
115.900;184.14;-0.87;
115.910;183.74;-0.63;
115.920;183.46;-0.61;
115.930;183.13;-0.48;
115.940;182.87;-0.31;
115.950;182.60;-0.19;
115.960;182.29;-0.02;
115.970;182.19;-0.01;
115.980;181.77;0.20;
115.990;181.58;0.35;
116.000;181.20;0.57;
116.010;180.95;0.96;
116.020;181.05;0.99;
116.030;181.23;0.83;
116.040;181.87;0.44;
116.050;182.09;0.12;
116.060;182.69;0.08;
116.070;183.19;-0.32;
116.080;183.50;-0.65;
116.090;183.97;-0.80;
116.100;184.14;-0.84;
116.110;184.08;-0.59;
116.120;184.12;-0.62;
116.130;183.99;-0.45;
116.140;183.96;-0.33;
116.150;184.08;-0.44;
116.160;184.02;-0.01;
116.170;184.06;0.12;
116.180;183.93;0.22;
116.190;184.06;0.41;
116.200;183.90;0.73;
116.210;183.64;1.13;
116.220;183.71;0.95;
116.230;184.46;0.66;
116.240;185.11;0.45;
116.250;185.52;0.14;
116.260;185.96;0.03;
116.270;186.53;-0.28;
116.280;187.24;-0.71;
116.290;187.60;-0.83;
116.300;187.71;-0.88;
116.310;187.42;-0.73;
116.320;187.48;-0.51;
116.330;187.48;-0.52;
116.340;187.08;-0.26;
116.350;187.08;-0.12;
116.360;187.25;-0.22;
116.370;186.87;0.23;
116.380;186.53;0.38;
116.390;186.55;0.28;
116.400;186.09;0.64;
116.410;185.69;0.93;
116.420;185.64;1.09;
116.430;185.70;0.70;
116.440;186.18;0.25;
116.450;186.27;0.22;
116.460;186.51;-0.14;
116.470;187.07;-0.35;
116.480;187.11;-0.71;
116.490;187.24;-0.87;
116.500;187.25;-0.92;
116.510;186.77;-0.74;
116.520;186.38;-0.43;
116.530;186.28;-0.52;
116.540;185.96;-0.35;
116.550;185.70;-0.17;
116.560;185.52;0.06;
116.570;185.04;0.17;
116.580;184.73;0.32;
116.590;184.45;0.31;
116.600;183.90;0.62;
116.610;183.20;1.08;
116.620;182.89;1.25;
116.630;183.22;0.80;
116.640;183.51;0.28;
116.650;183.52;0.14;
116.660;183.64;-0.06;
116.670;184.03;-0.39;
116.680;184.06;-0.69;
116.690;184.17;-0.79;
116.700;184.03;-0.98;
116.710;183.52;-0.62;
116.720;183.47;-0.59;
116.730;182.97;-0.44;
116.740;182.43;-0.36;
116.750;182.21;-0.28;
116.760;181.87;0.03;
116.770;181.55;0.05;
116.780;181.28;0.09;
116.790;180.98;0.23;
116.800;180.47;0.58;
116.810;180.05;0.87;
116.820;179.75;1.23;
116.830;180.00;0.91;
116.840;180.50;0.45;
116.850;180.55;0.28;
116.860;180.80;-0.03;
116.870;181.24;-0.30;
116.880;181.59;-0.62;
116.890;181.73;-0.91;
116.900;181.74;-0.90;
116.910;181.47;-0.91;
116.920;181.30;-0.41;
116.930;181.10;-0.29;
116.940;180.91;-0.27;
116.950;181.10;-0.17;
116.960;180.90;-0.18;
116.970;180.62;0.15;
116.980;180.55;0.14;
116.990;180.60;0.39;
117.000;180.29;0.56;
117.010;179.90;1.01;
117.020;179.90;0.98;
117.030;180.31;0.79;
117.040;180.90;0.50;
117.050;181.09;0.28;
117.060;181.58;0.02;
117.070;182.03;-0.37;
117.080;182.33;-0.67;
117.090;182.86;-0.87;
117.100;182.87;-0.84;
117.110;182.65;-0.80;
117.120;182.51;-0.58;
117.130;182.31;-0.57;
117.140;182.09;-0.13;
117.150;182.02;-0.22;
117.160;181.88;-0.06;
117.170;181.67;0.21;
117.180;181.59;0.24;
117.190;181.26;0.53;
117.200;180.78;0.80;
117.210;180.57;1.02;
117.220;180.32;1.14;
117.230;180.66;0.90;
117.240;181.12;0.43;
117.250;181.42;0.28;
117.260;181.51;0.07;
117.270;181.93;-0.32;
117.280;182.57;-0.72;
117.290;182.69;-0.82;
117.300;182.77;-0.80;
117.310;182.23;-0.48;
117.320;182.00;-0.60;
117.330;181.91;-0.53;
117.340;181.57;-0.31;
117.350;181.36;-0.25;
117.360;181.34;0.01;
117.370;181.08;0.02;
117.380;180.75;0.30;
117.390;180.57;0.45;
117.400;180.17;0.66;
117.410;179.65;0.99;
117.420;179.69;0.94;
117.430;179.91;0.77;
117.440;180.12;0.45;
117.450;180.41;0.19;
117.460;180.53;0.06;
117.470;181.14;-0.41;
117.480;181.46;-0.79;
117.490;181.41;-0.94;
117.500;181.33;-0.87;
117.510;181.28;-0.75;
117.520;180.81;-0.65;
117.530;180.59;-0.55;
117.540;180.49;-0.31;
117.550;180.13;-0.17;
117.560;180.06;-0.30;
117.570;179.73;0.07;
117.580;179.40;0.22;
117.590;179.28;0.42;
117.600;178.81;0.72;
117.610;178.33;0.97;
117.620;178.24;1.13;
117.630;178.59;0.76;
117.640;178.96;0.47;
117.650;179.25;0.38;
117.660;179.63;0.02;
117.670;179.98;-0.44;
117.680;180.57;-0.76;
117.690;180.66;-0.96;
117.700;180.78;-0.98;
117.710;180.62;-0.79;
117.720;180.26;-0.56;
117.730;180.19;-0.58;
117.740;180.09;-0.34;
117.750;179.96;-0.29;
117.760;179.69;0.05;
117.770;179.61;0.19;
117.780;179.49;0.11;
117.790;179.38;0.33;
117.800;179.07;0.65;
117.810;178.76;1.04;
117.820;178.72;1.03;
117.830;179.12;0.85;
117.840;179.71;0.44;
117.850;180.10;0.33;
117.860;180.45;0.07;
117.870;181.02;-0.30;
117.880;181.43;-0.51;
117.890;181.78;-0.86;
117.900;182.05;-0.80;
117.910;181.76;-0.61;
117.920;181.80;-0.61;
117.930;181.66;-0.37;
117.940;181.55;-0.17;
117.950;181.38;-0.04;
117.960;181.35;-0.09;
117.970;181.50;0.10;
117.980;181.18;0.24;
117.990;181.10;0.30;
118.000;180.78;0.74;
118.010;180.41;0.96;
118.020;180.38;1.05;
118.030;180.80;0.93;
118.040;181.28;0.47;
118.050;181.33;0.17;
118.060;181.77;0.03;
118.070;182.50;-0.26;
118.080;182.87;-0.67;
118.090;183.13;-0.93;
118.100;183.04;-0.83;
118.110;182.70;-0.76;
118.120;182.70;-0.50;
118.130;182.46;-0.51;
118.140;182.27;-0.47;
118.150;182.20;-0.29;
118.160;182.11;-0.12;
118.170;181.79;0.14;
118.180;181.55;0.32;
118.190;181.45;0.35;
118.200;180.80;0.67;
118.210;180.65;1.08;
118.220;180.49;0.86;
118.230;180.75;0.68;
118.240;181.38;0.22;
118.250;181.35;0.20;
118.260;181.86;0.04;
118.270;182.36;-0.37;
118.280;182.84;-0.68;
118.290;183.11;-0.89;
118.300;183.02;-0.76;
118.310;182.89;-0.64;
118.320;182.63;-0.54;
118.330;182.59;-0.56;
118.340;182.25;-0.28;
118.350;182.06;-0.33;
118.360;182.01;-0.23;
118.370;181.77;0.08;
118.380;181.55;0.22;
118.390;181.42;0.37;
118.400;181.00;0.68;
118.410;180.45;1.01;
118.420;180.28;1.07;
118.430;180.71;0.93;
118.440;181.25;0.44;
118.450;181.37;0.24;
118.460;181.98;0.05;
118.470;182.27;-0.28;
118.480;182.70;-0.78;
118.490;183.06;-0.79;
118.500;182.80;-0.74;
118.510;182.60;-0.88;
118.520;182.46;-0.62;
118.530;182.03;-0.62;
118.540;181.86;-0.39;
118.550;181.86;-0.29;
118.560;181.44;-0.17;
118.570;181.24;0.00;
118.580;180.77;0.27;
118.590;180.68;0.49;
118.600;180.08;0.64;
118.610;179.59;0.93;
118.620;179.36;1.06;
118.630;179.67;0.88;
118.640;180.16;0.32;
118.650;179.95;0.27;
118.660;180.38;-0.09;
118.670;180.67;-0.53;
118.680;180.74;-0.62;
118.690;180.78;-0.90;
118.700;180.94;-1.05;
118.710;180.59;-0.70;
118.720;180.08;-0.47;
118.730;179.84;-0.47;
118.740;179.53;-0.23;
118.750;179.15;-0.25;
118.760;178.93;0.00;
118.770;178.63;0.18;
118.780;178.31;0.28;
118.790;177.99;0.46;
118.800;177.54;0.66;
118.810;177.01;1.09;
118.820;176.91;1.11;
118.830;177.22;0.87;
118.840;177.40;0.47;
118.850;177.67;0.27;
118.860;177.81;0.04;
118.870;178.28;-0.37;
118.880;178.61;-0.66;
118.890;178.88;-0.76;
118.900;178.67;-0.91;
118.910;178.36;-0.72;
118.920;178.25;-0.54;
118.930;177.89;-0.48;
118.940;177.83;-0.16;
118.950;177.57;-0.36;
118.960;177.45;-0.13;
118.970;177.23;0.19;
118.980;176.75;0.30;
118.990;176.84;0.45;
119.000;176.39;0.70;
119.010;175.96;0.97;
119.020;176.07;0.99;
119.030;176.12;0.78;
119.040;176.82;0.37;
119.050;176.95;0.25;
119.060;177.39;0.21;
119.070;177.89;-0.33;
119.080;178.26;-0.64;
119.090;178.52;-0.78;
119.100;178.36;-0.98;
119.110;178.40;-0.77;
119.120;177.98;-0.56;
119.130;178.02;-0.38;
119.140;177.74;-0.26;
119.150;177.83;-0.14;
119.160;177.78;-0.22;
119.170;177.43;0.06;
119.180;177.40;0.18;
119.190;177.30;0.22;
119.200;177.09;0.67;
119.210;176.78;1.06;
119.220;176.75;1.05;
119.230;177.00;0.78;
119.240;177.59;0.33;
119.250;177.75;0.39;
119.260;178.23;0.16;
119.270;178.91;-0.51;
119.280;179.51;-0.58;
119.290;179.64;-1.03;
119.300;179.80;-0.92;
119.310;179.61;-0.76;
119.320;179.42;-0.73;
119.330;179.47;-0.49;
119.340;179.11;-0.24;
119.350;179.10;-0.12;
119.360;179.10;-0.05;
119.370;178.86;-0.12;
119.380;178.52;0.25;
119.390;178.57;0.41;
119.400;178.23;0.61;
119.410;177.77;1.17;
119.420;177.64;0.95;
119.430;178.15;0.86;
119.440;178.56;0.43;
119.450;178.98;0.33;
119.460;179.39;0.06;
119.470;179.53;-0.29;
119.480;180.08;-0.62;
119.490;180.42;-0.83;
119.500;180.46;-0.81;
119.510;180.21;-0.83;
119.520;180.05;-0.49;
119.530;179.80;-0.44;
119.540;179.76;-0.29;
119.550;179.55;-0.22;
119.560;179.43;-0.02;
119.570;179.33;0.13;
119.580;179.03;0.35;
119.590;178.91;0.32;
119.600;178.49;0.62;
119.610;178.17;1.02;
119.620;177.89;0.96;
119.630;178.42;0.79;
119.640;179.03;0.39;
119.650;179.27;0.28;
119.660;179.44;0.14;
119.670;180.00;-0.35;
119.680;180.55;-0.80;
119.690;180.64;-0.70;
119.700;180.80;-0.77;
119.710;180.61;-0.67;
119.720;180.59;-0.57;
119.730;180.24;-0.41;
119.740;180.29;-0.18;
119.750;180.29;-0.22;
119.760;180.08;-0.07;
119.770;179.92;0.01;
119.780;179.59;0.15;
119.790;179.64;0.35;
119.800;179.31;0.58;
119.810;178.86;0.90;
119.820;178.81;1.18;
119.830;179.22;0.74;
119.840;179.71;0.44;
119.850;179.95;0.38;
119.860;180.14;0.05;
119.870;180.72;-0.21;
119.880;181.13;-0.87;
119.890;181.40;-0.82;
119.900;181.50;-0.71;
119.910;181.04;-0.85;
119.920;180.77;-0.62;
119.930;180.48;-0.48;
119.940;179.99;-0.16;
119.950;179.86;-0.33;
119.960;179.63;-0.01;
119.970;179.31;0.08;
119.980;178.87;0.12;
119.990;178.52;0.40;
120.000;178.09;0.46;
120.010;177.56;0.90;
120.020;177.38;0.97;
120.030;177.30;0.77;
120.040;177.91;0.49;
120.050;177.83;0.42;
120.060;177.91;0.07;
120.070;178.41;-0.36;
120.080;178.20;-0.70;
120.090;178.45;-0.83;
120.100;178.42;-0.94;
120.110;177.99;-0.89;
120.120;177.59;-0.66;
120.130;177.08;-0.60;
120.140;176.69;-0.43;
120.150;176.61;-0.20;
120.160;176.25;-0.02;
120.170;175.83;-0.02;
120.180;175.68;0.13;
120.190;175.21;0.29;
120.200;174.88;0.59;
120.210;174.29;1.04;
120.220;174.04;1.06;
120.230;174.44;0.70;
120.240;174.74;0.52;
120.250;175.09;0.27;
120.260;175.25;0.09;
120.270;175.85;-0.19;
120.280;176.53;-0.60;
120.290;176.57;-0.86;
120.300;176.84;-0.84;
120.310;176.66;-0.71;
120.320;176.45;-0.64;
120.330;176.41;-0.47;
120.340;176.23;-0.12;
120.350;176.40;-0.17;
120.360;176.22;-0.13;
120.370;176.35;0.15;
120.380;176.35;0.27;
120.390;176.24;0.39;
120.400;176.11;0.63;
120.410;175.84;1.10;
120.420;175.95;1.15;
120.430;176.36;0.75;
120.440;177.16;0.51;
120.450;177.40;0.30;
120.460;177.73;-0.05;
120.470;178.50;-0.44;
120.480;179.05;-0.71;
120.490;179.59;-0.83;
120.500;179.78;-0.98;
120.510;179.66;-0.66;
120.520;179.58;-0.59;
120.530;179.62;-0.46;
120.540;179.51;-0.50;
120.550;179.56;-0.18;
120.560;179.47;-0.06;
120.570;179.35;0.10;
120.580;179.45;0.26;
120.590;179.13;0.22;
120.600;178.94;0.76;
120.610;178.55;1.15;
120.620;178.34;1.16;
120.630;178.74;0.73;
120.640;179.21;0.64;
120.650;179.35;0.26;
120.660;179.65;0.10;
120.670;180.21;-0.27;
120.680;180.52;-0.66;
120.690;180.65;-0.98;
120.700;180.57;-0.90;
120.710;180.28;-0.59;
120.720;179.98;-0.61;
120.730;179.63;-0.48;
120.740;179.37;-0.09;
120.750;179.29;-0.18;
120.760;178.91;-0.22;
120.770;178.65;0.09;
120.780;178.34;0.06;
120.790;177.91;0.35;
120.800;177.50;0.63;
120.810;177.03;0.93;
120.820;176.77;0.94;
120.830;176.99;0.98;
120.840;177.30;0.47;
120.850;177.29;0.22;
120.860;177.47;0.10;
120.870;177.77;-0.40;
120.880;178.25;-0.62;
120.890;178.36;-0.77;
120.900;178.24;-0.88;
120.910;177.95;-0.78;
120.920;177.50;-0.44;
120.930;177.24;-0.45;
120.940;176.92;-0.26;
120.950;176.86;-0.13;
120.960;176.81;-0.24;
120.970;176.52;-0.02;
120.980;176.27;0.16;
120.990;176.28;0.41;
121.000;175.91;0.68;
121.010;175.60;0.92;
121.020;175.53;1.08;
121.030;175.94;0.76;
121.040;176.44;0.48;
121.050;176.69;0.27;
121.060;177.24;0.01;
121.070;177.79;-0.27;
121.080;178.34;-0.71;
121.090;178.55;-0.87;
121.100;178.83;-0.81;
121.110;178.80;-0.76;
121.120;178.61;-0.48;
121.130;178.53;-0.28;
121.140;178.42;-0.32;
121.150;178.28;-0.25;
121.160;178.42;-0.16;
121.170;178.35;0.01;
121.180;178.26;0.28;
121.190;178.15;0.41;
121.200;177.71;0.70;
121.210;177.76;0.86;
121.220;177.56;1.08;
121.230;178.16;0.80;
121.240;178.85;0.40;
121.250;179.06;0.31;
121.260;179.71;0.01;
121.270;180.24;-0.43;
121.280;180.99;-0.73;
121.290;181.46;-0.83;
121.300;181.44;-0.88;
121.310;181.43;-0.78;
121.320;181.16;-0.58;
121.330;181.10;-0.29;
121.340;181.07;-0.28;
