Time: 08.07.2022 13:57:23;;;
Team: test;;;
Athlete name: Lasse I;;;
Device: NORDIC07;;;
Comment: ;;;
#SampleTime[s];Force_left[N];Force_right[N];
0.2780;-0.66;0.41;
0.2790;-1.19;0.72;
0.2800;-1.32;0.93;
0.2810;-1.26;0.85;
0.2820;-0.94;0.49;
0.2830;-0.41;0.28;
0.2840;-0.47;0.29;
0.2850;0.10;-0.18;
0.2860;0.69;-0.47;
0.2870;0.92;-0.73;
0.2880;0.92;-0.96;
0.2890;0.85;-0.70;
0.2900;0.86;-0.60;
0.2910;0.41;-0.57;
0.2920;0.32;-0.27;
0.2930;0.13;-0.14;
0.2940;0.15;-0.18;
0.2950;-0.13;0.08;
0.2960;-0.34;0.07;
0.2970;-0.46;0.22;
0.2980;-0.65;0.37;
0.2990;-1.17;0.79;
0.3000;-1.41;1.11;
0.3010;-1.15;1.02;
0.3020;-0.97;0.61;
0.3030;-0.41;0.30;
0.3040;-0.38;0.13;
0.3050;0.05;-0.18;
0.3060;0.47;-0.47;
0.3070;0.98;-1.14;
0.3080;1.06;-1.02;
0.3090;0.91;-0.80;
0.3100;0.82;-0.63;
0.3110;0.47;-0.38;
0.3120;0.31;-0.23;
0.3130;0.30;-0.17;
0.3140;0.05;-0.13;
0.3150;-0.05;0.01;
0.3160;-0.09;0.05;
0.3170;-0.43;0.17;
0.3180;-0.67;0.41;
0.3190;-1.18;0.78;
0.3200;-1.27;1.04;
0.3210;-1.16;0.86;
0.3220;-0.81;0.54;
0.3230;-0.38;0.36;
0.3240;-0.17;0.22;
0.3250;0.03;-0.07;
0.3260;0.75;-0.56;
0.3270;0.95;-0.62;
0.3280;0.90;-0.76;
0.3290;1.02;-0.96;
0.3300;0.61;-0.68;
0.3310;0.57;-0.38;
0.3320;0.29;-0.29;
0.3330;0.16;-0.19;
0.3340;0.12;-0.18;
0.3350;-0.06;0.02;
0.3360;-0.46;0.09;
0.3370;-0.49;0.21;
0.3380;-0.61;0.60;
0.3390;-1.13;0.86;
0.3400;-1.30;1.16;
0.3410;-1.27;1.08;
0.3420;-0.64;0.61;
0.3430;-0.36;0.43;
0.3440;-0.10;0.07;
0.3450;0.19;-0.03;
0.3460;0.73;-0.45;
0.3470;1.03;-0.83;
0.3480;0.93;-0.70;
0.3490;1.00;-0.87;
0.3500;0.72;-0.69;
0.3510;0.51;-0.54;
0.3520;0.30;-0.21;
0.3530;0.31;-0.31;
0.3540;0.17;0.01;
0.3550;-0.12;0.03;
0.3560;-0.37;-0.01;
0.3570;-0.44;0.28;
0.3580;-0.75;0.56;
0.3590;-1.06;0.92;
0.3600;-1.26;0.98;
0.3610;-1.13;1.02;
0.3620;-0.67;0.70;
0.3630;-0.37;0.44;
0.3640;-0.12;0.22;
0.3650;0.16;-0.02;
0.3660;0.71;-0.53;
0.3670;0.84;-0.70;
0.3680;1.14;-0.80;
0.3690;1.10;-0.83;
0.3700;0.77;-0.81;
0.3710;0.49;-0.38;
0.3720;0.36;-0.37;
0.3730;0.30;-0.45;
0.3740;0.15;-0.25;
0.3750;-0.07;-0.08;
0.3760;-0.43;0.16;
0.3770;-0.42;0.10;
0.3780;-0.66;0.55;
0.3790;-1.13;0.93;
0.3800;-1.41;1.08;
0.3810;-1.17;0.78;
0.3820;-0.79;0.60;
0.3830;-0.38;0.35;
0.3840;-0.29;0.12;
0.3850;0.19;-0.15;
0.3860;0.73;-0.61;
0.3870;1.01;-0.75;
0.3880;1.20;-0.78;
0.3890;0.97;-0.86;
0.3900;0.72;-0.59;
0.3910;0.43;-0.42;
0.3920;0.12;-0.49;
0.3930;0.06;-0.20;
0.3940;0.11;-0.07;
0.3950;-0.10;-0.04;
0.3960;-0.33;0.14;
0.3970;-0.57;0.26;
0.3980;-0.81;0.44;
0.3990;-1.15;0.92;
0.4000;-1.23;0.78;
0.4010;-1.31;0.87;
0.4020;-0.80;0.63;
0.4030;-0.51;0.33;
0.4040;-0.28;0.38;
0.4050;0.18;-0.36;
0.4060;0.41;-0.63;
0.4070;0.92;-0.66;
0.4080;1.16;-1.03;
0.4090;0.96;-0.91;
0.4100;0.71;-0.61;
0.4110;0.46;-0.62;
0.4120;0.28;-0.38;
0.4130;0.43;-0.36;
0.4140;0.21;-0.20;
0.4150;-0.09;0.04;
0.4160;-0.28;0.15;
0.4170;-0.48;0.32;
0.4180;-0.72;0.35;
0.4190;-1.08;0.76;
0.4200;-1.35;1.04;
0.4210;-1.32;1.11;
0.4220;-0.90;0.73;
0.4230;-0.41;0.33;
0.4240;-0.32;0.30;
0.4250;0.13;-0.06;
0.4260;0.62;-0.52;
0.4270;0.81;-0.84;
