Time: 04.07.2022 11:04:06;
Team: Senior Men;
Athlete name: rfd;
Device: NORDIC02;
Comment: ;
#SampleTime[s];Force_left[N];Force_right[N];
31.5940;-0.30;0.35;
31.5950;-0.26;0.34;
31.5960;-0.37;0.65;
31.5970;-0.52;0.61;
31.5980;-0.44;0.94;
31.5990;-0.58;1.02;
31.6000;-0.63;1.06;
31.6010;-0.71;1.86;
31.6020;-0.97;2.21;
31.6030;-0.92;2.35;
31.6040;-0.87;2.02;
31.6050;-0.60;1.45;
31.6060;-0.47;0.85;
31.6070;-0.42;0.71;
31.6080;-0.10;-0.17;
31.6090;-0.00;-0.60;
31.6100;0.09;-0.98;
31.6110;0.08;-0.69;
31.6120;-0.18;-0.02;
31.6130;-0.20;0.14;
31.6140;-0.34;0.22;
31.6150;-0.33;0.43;
31.6160;-0.33;0.69;
31.6170;-0.52;0.71;
31.6180;-0.62;1.06;
31.6190;-0.66;0.93;
31.6200;-0.51;0.88;
31.6210;-0.86;1.87;
31.6220;-0.94;2.42;
31.6230;-0.93;2.27;
31.6240;-0.83;2.00;
31.6250;-0.65;1.40;
31.6260;-0.50;1.10;
31.6270;-0.39;0.56;
31.6280;-0.33;-0.04;
31.6290;-0.00;-0.59;
31.6300;0.05;-0.87;
31.6310;0.15;-0.74;
31.6320;-0.21;-0.21;
31.6330;-0.16;0.05;
31.6340;-0.25;0.22;
31.6350;-0.34;0.39;
31.6360;-0.25;0.52;
31.6370;-0.47;0.81;
31.6380;-0.36;0.87;
31.6390;-0.45;0.90;
31.6400;-0.57;1.01;
31.6410;-0.75;1.64;
31.6420;-0.90;2.45;
31.6430;-0.98;2.37;
31.6440;-0.71;1.94;
31.6450;-0.63;1.39;
31.6460;-0.44;0.86;
31.6470;-0.23;0.61;
31.6480;-0.16;-0.19;
31.6490;0.15;-0.66;
31.6500;0.18;-1.06;
31.6510;0.07;-0.81;
31.6520;-0.12;0.02;
31.6530;-0.08;0.15;
31.6540;-0.25;0.36;
31.6550;-0.37;0.40;
31.6560;-0.38;0.69;
31.6570;-0.51;0.97;
31.6580;-0.39;1.02;
31.6590;-0.57;1.24;
31.6600;-0.51;1.09;
31.6610;-0.71;1.79;
31.6620;-1.10;2.39;
31.6630;-0.90;2.23;
31.6640;-0.91;1.89;
31.6650;-0.63;1.32;
31.6660;-0.49;0.89;
31.6670;-0.44;0.55;
31.6680;-0.03;-0.08;
31.6690;-0.03;-0.61;
31.6700;0.17;-0.90;
31.6710;0.30;-0.83;
31.6720;-0.14;-0.05;
31.6730;-0.19;0.06;
31.6740;-0.40;0.27;
31.6750;-0.38;0.41;
31.6760;-0.28;0.60;
31.6770;-0.37;0.88;
31.6780;-0.45;0.83;
31.6790;-0.54;0.87;
31.6800;-0.42;1.17;
31.6810;-0.82;1.86;
31.6820;-0.86;2.30;
31.6830;-0.82;2.52;
31.6840;-0.73;1.98;
31.6850;-0.51;1.25;
31.6860;-0.58;0.88;
31.6870;-0.39;0.67;
31.6880;0.00;-0.11;
31.6890;-0.03;-0.64;
31.6900;0.05;-0.73;
31.6910;0.34;-0.89;
31.6920;-0.08;-0.25;
31.6930;-0.38;0.08;
31.6940;-0.15;0.36;
31.6950;-0.22;0.45;
31.6960;-0.57;0.54;
31.6970;-0.43;0.79;
31.6980;-0.28;0.91;
31.6990;-0.52;1.16;
31.7000;-0.62;1.08;
31.7010;-0.71;2.03;
31.7020;-0.95;2.31;
31.7030;-1.02;2.25;
31.7040;-0.95;2.06;
31.7050;-0.76;1.31;
31.7060;-0.34;1.10;
31.7070;-0.18;0.46;
31.7080;-0.15;-0.05;
31.7090;-0.14;-0.53;
31.7100;0.18;-0.95;
31.7110;0.01;-0.83;
31.7120;-0.24;-0.05;
31.7130;-0.16;-0.03;
31.7140;-0.28;0.34;
31.7150;-0.22;0.66;
31.7160;-0.52;0.43;
31.7170;-0.46;0.80;
31.7180;-0.61;0.93;
31.7190;-0.53;1.15;
31.7200;-0.47;1.14;
31.7210;-0.79;1.93;
31.7220;-0.88;2.57;
31.7230;-0.87;2.35;
31.7240;-0.85;1.87;
31.7250;-0.68;1.25;
31.7260;-0.42;1.00;
31.7270;-0.51;0.64;
31.7280;-0.06;-0.23;
31.7290;0.05;-0.74;
31.7300;0.11;-0.98;
31.7310;0.11;-0.71;
31.7320;-0.08;-0.13;
31.7330;-0.33;-0.03;
31.7340;-0.28;0.42;
31.7350;-0.26;0.38;
31.7360;-0.43;0.52;
31.7370;-0.35;0.73;
31.7380;-0.56;1.00;
31.7390;-0.60;1.20;
31.7400;-0.48;1.14;
31.7410;-0.70;2.03;
31.7420;-1.12;2.48;
31.7430;-0.89;2.17;
31.7440;-0.82;1.90;
31.7450;-0.66;1.36;
31.7460;-0.40;0.98;
31.7470;-0.42;0.59;
31.7480;-0.12;-0.33;
31.7490;0.03;-0.58;
31.7500;0.21;-1.07;
31.7510;0.19;-0.91;
31.7520;-0.11;0.01;
31.7530;-0.30;0.11;
31.7540;-0.34;0.22;
31.7550;-0.42;0.42;
31.7560;-0.49;0.61;
31.7570;-0.45;0.69;
31.7580;-0.49;1.01;
31.7590;-0.41;1.11;
31.7600;-0.75;1.22;
31.7610;-0.84;1.75;
31.7620;-0.85;2.43;
31.7630;-1.07;2.50;
31.7640;-0.78;1.90;
31.7650;-0.57;1.40;
31.7660;-0.36;1.08;
31.7670;-0.43;0.54;
31.7680;-0.20;-0.31;
31.7690;0.16;-0.73;
31.7700;0.15;-0.94;
31.7710;0.17;-0.77;
31.7720;-0.30;-0.05;
31.7730;-0.32;0.18;
31.7740;-0.24;0.33;
31.7750;-0.41;0.46;
31.7760;-0.27;0.49;
31.7770;-0.41;0.63;
31.7780;-0.55;1.00;
31.7790;-0.65;1.05;
31.7800;-0.58;0.88;
31.7810;-0.82;1.90;
31.7820;-1.01;2.29;
31.7830;-0.87;2.35;
31.7840;-0.85;1.81;
31.7850;-0.59;1.21;
31.7860;-0.53;1.00;
31.7870;-0.31;0.41;
31.7880;-0.19;0.01;
31.7890;-0.05;-0.60;
31.7900;0.02;-1.00;
31.7910;0.00;-0.77;
31.7920;-0.09;-0.07;
31.7930;-0.08;0.13;
31.7940;-0.18;0.36;
31.7950;-0.47;0.31;
31.7960;-0.42;0.54;
31.7970;-0.52;0.79;
31.7980;-0.51;0.88;
31.7990;-0.61;1.06;
31.8000;-0.65;1.15;
31.8010;-0.86;2.02;
31.8020;-0.91;2.51;
31.8030;-0.84;2.29;
31.8040;-0.78;2.01;
31.8050;-0.67;1.30;
31.8060;-0.59;0.85;
31.8070;-0.38;0.58;
31.8080;-0.04;-0.11;
31.8090;0.11;-0.60;
31.8100;0.12;-1.01;
31.8110;0.19;-0.95;
31.8120;-0.20;0.04;
31.8130;-0.30;0.40;
31.8140;-0.23;0.23;
31.8150;-0.27;0.57;
31.8160;-0.42;0.48;
31.8170;-0.50;0.71;
31.8180;-0.56;0.87;
31.8190;-0.56;1.18;
31.8200;-0.59;1.23;
31.8210;-0.96;1.86;
31.8220;-1.01;2.53;
31.8230;-0.88;2.10;
31.8240;-0.76;2.10;
31.8250;-0.53;1.32;
31.8260;-0.46;0.90;
31.8270;-0.40;0.62;
31.8280;-0.11;-0.31;
31.8290;0.16;-0.66;
31.8300;0.14;-1.04;
31.8310;-0.06;-0.87;
31.8320;-0.12;-0.08;
31.8330;-0.31;0.15;
31.8340;-0.29;0.47;
31.8350;-0.35;0.48;
31.8360;-0.45;0.69;
31.8370;-0.27;0.74;
31.8380;-0.49;0.74;
31.8390;-0.55;1.03;
31.8400;-0.53;1.23;
31.8410;-0.90;1.98;
31.8420;-0.99;2.49;
31.8430;-1.07;2.53;
31.8440;-0.77;1.87;
31.8450;-0.54;1.18;
31.8460;-0.39;0.84;
31.8470;-0.44;0.55;
31.8480;-0.07;-0.15;
31.8490;0.29;-0.77;
31.8500;0.04;-0.87;
31.8510;0.22;-0.80;
31.8520;-0.20;-0.07;
31.8530;-0.03;0.19;
31.8540;-0.25;0.37;
31.8550;-0.41;0.45;
31.8560;-0.39;0.58;
31.8570;-0.28;0.91;
31.8580;-0.28;0.88;
31.8590;-0.54;0.95;
31.8600;-0.43;1.11;
31.8610;-0.94;1.86;
31.8620;-0.94;2.26;
31.8630;-0.98;2.30;
31.8640;-0.87;1.87;
31.8650;-0.58;1.12;
31.8660;-0.38;0.81;
31.8670;-0.29;0.45;
31.8680;0.02;-0.28;
31.8690;0.13;-0.69;
31.8700;0.14;-1.06;
31.8710;0.08;-0.70;
31.8720;-0.20;0.08;
31.8730;-0.28;0.26;
31.8740;-0.29;0.42;
31.8750;-0.10;0.55;
31.8760;-0.44;0.64;
31.8770;-0.49;0.69;
31.8780;-0.56;0.95;
31.8790;-0.67;1.05;
31.8800;-0.65;1.13;
31.8810;-0.79;1.95;
31.8820;-1.07;2.56;
31.8830;-1.15;2.18;
31.8840;-0.76;1.90;
31.8850;-0.57;1.17;
31.8860;-0.44;0.94;
31.8870;-0.33;0.43;
31.8880;-0.12;-0.39;
31.8890;0.07;-0.73;
31.8900;0.20;-1.04;
31.8910;0.11;-0.64;
31.8920;-0.11;0.10;
31.8930;-0.27;0.20;
31.8940;-0.39;0.34;
31.8950;-0.34;0.54;
31.8960;-0.45;0.52;
31.8970;-0.33;0.84;
31.8980;-0.43;0.85;
31.8990;-0.66;1.13;
31.9000;-0.65;1.21;
31.9010;-0.97;1.89;
31.9020;-1.08;2.38;
31.9030;-0.88;2.34;
31.9040;-0.84;1.93;
31.9050;-0.54;1.31;
31.9060;-0.37;0.99;
31.9070;-0.46;0.54;
31.9080;-0.20;-0.30;
31.9090;-0.01;-0.69;
31.9100;0.14;-0.97;
31.9110;0.03;-0.72;
31.9120;0.01;0.19;
31.9130;-0.25;0.16;
31.9140;-0.35;0.51;
31.9150;-0.41;0.52;
31.9160;-0.50;0.56;
31.9170;-0.31;0.73;
31.9180;-0.36;1.02;
31.9190;-0.52;1.04;
31.9200;-0.72;1.36;
31.9210;-0.83;2.12;
31.9220;-1.05;2.33;
31.9230;-0.96;2.27;
31.9240;-0.76;1.75;
31.9250;-0.43;1.33;
31.9260;-0.64;0.96;
31.9270;-0.33;0.69;
31.9280;0.03;-0.28;
31.9290;-0.07;-0.71;
31.9300;0.15;-0.87;
31.9310;-0.01;-0.77;
31.9320;-0.08;0.00;
31.9330;-0.21;0.13;
31.9340;-0.46;0.33;
31.9350;-0.34;0.50;
31.9360;-0.25;0.84;
31.9370;-0.48;0.81;
31.9380;-0.46;1.06;
31.9390;-0.46;1.15;
31.9400;-0.60;1.19;
31.9410;-0.91;2.06;
31.9420;-1.02;2.27;
31.9430;-0.93;2.29;
31.9440;-0.82;1.87;
31.9450;-0.45;1.17;
31.9460;-0.38;0.92;
31.9470;-0.39;0.52;
31.9480;-0.03;-0.22;
31.9490;-0.01;-0.78;
31.9500;0.14;-1.03;
31.9510;0.16;-0.55;
31.9520;-0.22;0.01;
31.9530;-0.27;0.10;
31.9540;-0.24;0.32;
31.9550;-0.17;0.63;
31.9560;-0.31;0.64;
31.9570;-0.38;0.87;
31.9580;-0.48;1.01;
31.9590;-0.60;1.06;
31.9600;-0.49;1.19;
31.9610;-0.80;1.99;
31.9620;-1.10;2.57;
31.9630;-0.98;1.96;
31.9640;-0.81;2.00;
31.9650;-0.48;1.20;
31.9660;-0.50;0.92;
31.9670;-0.35;0.44;
31.9680;-0.13;-0.30;
31.9690;0.04;-0.62;
31.9700;0.09;-1.16;
31.9710;-0.13;-0.56;
31.9720;-0.22;0.07;
31.9730;-0.32;0.35;
31.9740;-0.37;0.46;
31.9750;-0.34;0.59;
31.9760;-0.27;0.59;
31.9770;-0.52;0.75;
31.9780;-0.59;0.82;
31.9790;-0.55;1.18;
31.9800;-0.51;1.37;
31.9810;-0.85;2.04;
31.9820;-0.95;2.46;
31.9830;-0.97;2.24;
31.9840;-0.77;1.82;
31.9850;-0.50;1.12;
31.9860;-0.65;1.06;
31.9870;-0.21;0.70;
31.9880;-0.06;-0.29;
31.9890;0.07;-0.74;
31.9900;0.23;-1.03;
31.9910;0.21;-0.81;
31.9920;-0.11;0.06;
31.9930;-0.22;0.07;
31.9940;-0.34;0.37;
31.9950;-0.34;0.46;
31.9960;-0.33;0.80;
31.9970;-0.53;0.89;
31.9980;-0.40;0.98;
31.9990;-0.57;1.05;
32.0000;-0.59;1.33;
32.0010;-0.96;2.11;
32.0020;-0.93;2.31;
32.0030;-0.99;2.48;
32.0040;-0.82;1.72;
32.0050;-0.53;1.24;
32.0060;-0.60;1.02;
32.0070;-0.14;0.44;
32.0080;0.04;-0.26;
32.0090;0.00;-0.78;
32.0100;0.16;-1.14;
32.0110;0.08;-0.65;
32.0120;-0.31;0.11;
32.0130;-0.14;0.19;
32.0140;-0.28;0.35;
32.0150;-0.18;0.37;
32.0160;-0.39;0.57;
32.0170;-0.56;0.79;
32.0180;-0.50;1.00;
32.0190;-0.46;0.95;
32.0200;-0.63;1.36;
32.0210;-0.96;2.07;
32.0220;-0.80;2.22;
32.0230;-0.84;2.35;
32.0240;-0.58;1.70;
32.0250;-0.66;1.26;
32.0260;-0.61;1.12;
32.0270;-0.34;0.34;
32.0280;-0.07;-0.34;
32.0290;-0.11;-0.64;
32.0300;0.10;-0.99;
32.0310;0.02;-0.72;
32.0320;-0.29;-0.19;
32.0330;-0.18;0.14;
32.0340;-0.17;0.44;
32.0350;-0.25;0.43;
32.0360;-0.44;0.77;
32.0370;-0.52;0.91;
32.0380;-0.53;1.09;
32.0390;-0.38;1.03;
32.0400;-0.56;1.10;
32.0410;-0.92;2.16;
32.0420;-0.82;2.58;
32.0430;-0.93;2.12;
32.0440;-0.86;1.76;
32.0450;-0.42;1.11;
32.0460;-0.56;0.82;
32.0470;-0.28;0.45;
32.0480;-0.02;-0.28;
32.0490;0.02;-0.78;
32.0500;0.20;-1.10;
32.0510;0.14;-0.43;
32.0520;-0.18;-0.05;
32.0530;-0.15;-0.01;
32.0540;-0.21;0.34;
32.0550;-0.22;0.38;
32.0560;-0.53;0.57;
32.0570;-0.56;0.72;
32.0580;-0.28;1.05;
32.0590;-0.48;1.01;
32.0600;-0.54;1.30;
32.0610;-0.98;2.13;
32.0620;-1.12;2.32;
32.0630;-0.98;2.25;
32.0640;-0.77;1.66;
32.0650;-0.70;1.17;
32.0660;-0.40;0.98;
32.0670;-0.33;0.50;
32.0680;-0.16;-0.44;
32.0690;0.12;-0.70;
32.0700;0.09;-0.95;
32.0710;0.02;-0.64;
32.0720;-0.14;0.19;
32.0730;-0.18;0.33;
32.0740;-0.24;0.48;
32.0750;-0.40;0.51;
32.0760;-0.42;0.59;
32.0770;-0.36;0.70;
32.0780;-0.50;1.07;
32.0790;-0.57;0.91;
32.0800;-0.62;1.31;
32.0810;-0.80;2.09;
32.0820;-0.86;2.51;
32.0830;-0.83;2.59;
32.0840;-0.78;1.79;
32.0850;-0.66;1.27;
32.0860;-0.36;0.80;
32.0870;-0.32;0.36;
32.0880;-0.18;-0.38;
32.0890;-0.02;-0.88;
32.0900;0.08;-0.93;
32.0910;0.10;-0.61;
32.0920;-0.30;0.23;
32.0930;-0.15;0.31;
32.0940;-0.39;0.46;
32.0950;-0.25;0.55;
32.0960;-0.48;0.52;
32.0970;-0.49;0.60;
32.0980;-0.40;1.03;
32.0990;-0.50;1.13;
32.1000;-0.57;1.35;
32.1010;-0.85;2.15;
32.1020;-0.81;2.24;
32.1030;-1.13;2.25;
32.1040;-0.71;1.77;
32.1050;-0.60;1.20;
32.1060;-0.57;0.74;
32.1070;-0.33;0.32;
32.1080;-0.06;-0.31;
32.1090;0.06;-0.79;
32.1100;0.25;-0.89;
32.1110;-0.02;-0.53;
32.1120;-0.17;0.04;
32.1130;-0.21;0.07;
32.1140;-0.40;0.37;
32.1150;-0.27;0.55;
32.1160;-0.42;0.67;
32.1170;-0.38;0.77;
32.1180;-0.39;1.02;
32.1190;-0.43;1.01;
32.1200;-0.48;1.23;
32.1210;-0.83;2.11;
32.1220;-1.13;2.37;
32.1230;-0.93;2.27;
32.1240;-0.80;1.85;
32.1250;-0.43;1.28;
32.1260;-0.41;0.94;
32.1270;-0.35;0.48;
32.1280;-0.09;-0.28;
32.1290;0.09;-0.85;
32.1300;0.17;-0.99;
32.1310;0.08;-0.65;
32.1320;-0.15;0.03;
32.1330;-0.24;0.35;
32.1340;-0.22;0.37;
32.1350;-0.28;0.51;
32.1360;-0.36;0.73;
32.1370;-0.38;0.76;
32.1380;-0.34;0.89;
32.1390;-0.43;1.09;
32.1400;-0.55;1.26;
32.1410;-0.92;2.09;
32.1420;-1.00;2.27;
32.1430;-0.90;2.07;
32.1440;-0.69;1.67;
32.1450;-0.67;0.89;
32.1460;-0.59;0.90;
32.1470;-0.32;0.45;
32.1480;0.00;-0.38;
32.1490;-0.06;-0.91;
32.1500;0.07;-1.16;
32.1510;0.05;-0.57;
32.1520;-0.13;0.14;
32.1530;-0.19;0.14;
32.1540;-0.25;0.38;
32.1550;-0.25;0.58;
32.1560;-0.39;0.64;
32.1570;-0.34;0.85;
32.1580;-0.48;1.08;
32.1590;-0.60;1.04;
32.1600;-0.66;1.26;
32.1610;-0.83;2.22;
32.1620;-1.03;2.30;
32.1630;-0.96;2.12;
32.1640;-0.83;1.76;
32.1650;-0.42;1.26;
32.1660;-0.59;0.90;
32.1670;-0.28;0.31;
32.1680;-0.03;-0.40;
32.1690;0.20;-0.85;
32.1700;0.29;-1.07;
32.1710;-0.06;-0.50;
32.1720;-0.04;0.20;
32.1730;-0.22;0.24;
32.1740;-0.26;0.39;
32.1750;-0.32;0.32;
32.1760;-0.30;0.73;
32.1770;-0.48;0.72;
32.1780;-0.47;1.11;
32.1790;-0.42;1.04;
32.1800;-0.72;1.33;
32.1810;-1.12;2.32;
32.1820;-0.94;2.28;
32.1830;-0.93;2.39;
32.1840;-0.60;1.66;
32.1850;-0.57;1.15;
32.1860;-0.50;0.92;
32.1870;-0.11;0.39;
32.1880;-0.08;-0.46;
32.1890;0.02;-0.77;
32.1900;0.17;-0.86;
32.1910;0.02;-0.48;
32.1920;-0.23;0.20;
32.1930;-0.19;0.19;
32.1940;-0.42;0.44;
32.1950;-0.34;0.40;
32.1960;-0.34;0.67;
32.1970;-0.37;0.90;
32.1980;-0.57;1.09;
32.1990;-0.58;1.05;
32.2000;-0.62;1.20;
32.2010;-0.94;2.09;
32.2020;-0.89;2.42;
32.2030;-0.69;2.09;
32.2040;-0.72;1.62;
32.2050;-0.55;1.15;
32.2060;-0.51;0.85;
32.2070;-0.31;0.33;
32.2080;0.00;-0.33;
32.2090;0.15;-0.70;
32.2100;0.16;-1.01;
32.2110;0.11;-0.40;
32.2120;-0.04;0.14;
32.2130;-0.19;0.25;
32.2140;-0.33;0.45;
32.2150;-0.24;0.40;
32.2160;-0.33;0.54;
32.2170;-0.64;0.65;
32.2180;-0.50;1.03;
32.2190;-0.50;1.17;
32.2200;-0.54;1.29;
32.2210;-1.00;2.07;
32.2220;-0.83;2.34;
32.2230;-0.86;2.14;
32.2240;-0.84;1.61;
32.2250;-0.47;0.99;
32.2260;-0.41;0.82;
32.2270;-0.22;0.31;
32.2280;-0.02;-0.35;
32.2290;0.07;-0.79;
32.2300;0.38;-1.20;
32.2310;0.03;-0.40;
32.2320;-0.32;0.12;
32.2330;-0.26;0.04;
32.2340;-0.39;0.44;
32.2350;-0.37;0.30;
32.2360;-0.47;0.81;
32.2370;-0.37;0.85;
32.2380;-0.59;0.87;
32.2390;-0.37;1.25;
32.2400;-0.71;1.52;
32.2410;-1.07;2.03;
32.2420;-1.02;2.22;
32.2430;-0.87;2.29;
32.2440;-0.70;1.66;
32.2450;-0.61;1.07;
32.2460;-0.27;0.82;
32.2470;-0.12;0.27;
32.2480;0.01;-0.67;
32.2490;0.09;-0.72;
32.2500;0.27;-0.96;
32.2510;0.01;-0.53;
32.2520;-0.27;0.09;
32.2530;-0.34;0.34;
32.2540;-0.38;0.42;
32.2550;-0.32;0.37;
32.2560;-0.36;0.65;
32.2570;-0.28;0.64;
32.2580;-0.55;1.18;
32.2590;-0.57;0.92;
32.2600;-0.72;1.50;
32.2610;-0.89;2.07;
32.2620;-0.78;2.36;
32.2630;-0.94;2.33;
32.2640;-0.68;1.54;
32.2650;-0.70;1.04;
32.2660;-0.56;0.66;
32.2670;-0.23;0.24;
32.2680;0.04;-0.54;
32.2690;0.16;-0.92;
32.2700;0.28;-0.92;
32.2710;-0.10;-0.44;
32.2720;-0.17;0.04;
32.2730;-0.08;0.22;
32.2740;-0.38;0.42;
32.2750;-0.31;0.45;
32.2760;-0.44;0.59;
32.2770;-0.52;0.90;
32.2780;-0.59;0.89;
32.2790;-0.47;1.08;
32.2800;-0.60;1.33;
32.2810;-0.79;2.39;
32.2820;-0.96;2.55;
32.2830;-1.03;2.05;
32.2840;-0.74;1.65;
32.2850;-0.51;1.06;
32.2860;-0.52;0.83;
32.2870;-0.36;0.11;
32.2880;-0.01;-0.43;
32.2890;0.13;-0.87;
32.2900;0.17;-1.08;
32.2910;-0.04;-0.36;
32.2920;-0.26;0.13;
32.2930;-0.27;0.16;
32.2940;-0.31;0.43;
32.2950;-0.45;0.45;
32.2960;-0.33;0.85;
32.2970;-0.35;0.82;
32.2980;-0.55;1.17;
32.2990;-0.49;1.08;
32.3000;-0.68;1.40;
32.3010;-0.97;2.29;
32.3020;-1.11;2.27;
32.3030;-1.07;2.26;
32.3040;-0.86;1.53;
32.3050;-0.51;1.20;
32.3060;-0.48;0.91;
32.3070;-0.43;0.27;
32.3080;-0.10;-0.36;
32.3090;0.03;-0.76;
32.3100;0.29;-1.19;
32.3110;-0.04;-0.44;
32.3120;-0.17;0.16;
32.3130;-0.17;0.10;
32.3140;-0.28;0.61;
32.3150;-0.30;0.56;
32.3160;-0.52;0.68;
32.3170;-0.36;0.82;
32.3180;-0.35;0.98;
32.3190;-0.44;0.93;
32.3200;-0.62;1.41;
32.3210;-0.68;2.26;
32.3220;-0.96;2.43;
32.3230;-0.95;2.24;
32.3240;-0.56;1.67;
32.3250;-0.55;1.08;
32.3260;-0.49;0.84;
32.3270;-0.13;0.15;
32.3280;0.08;-0.51;
32.3290;0.02;-0.72;
32.3300;0.27;-1.07;
32.3310;-0.03;-0.43;
32.3320;-0.25;-0.02;
32.3330;-0.06;0.16;
32.3340;-0.16;0.42;
32.3350;-0.31;0.52;
32.3360;-0.32;0.69;
32.3370;-0.28;0.93;
32.3380;-0.45;1.15;
32.3390;-0.53;1.00;
32.3400;-0.58;1.49;
32.3410;-0.76;2.06;
32.3420;-0.88;2.29;
32.3430;-0.95;2.22;
32.3440;-0.77;1.52;
32.3450;-0.63;1.10;
32.3460;-0.47;0.82;
32.3470;-0.20;0.22;
32.3480;-0.02;-0.46;
32.3490;0.06;-0.96;
32.3500;0.08;-1.05;
32.3510;-0.05;-0.59;
32.3520;-0.30;0.07;
32.3530;-0.09;0.33;
32.3540;-0.14;0.56;
32.3550;-0.40;0.50;
32.3560;-0.42;0.75;
32.3570;-0.45;1.05;
32.3580;-0.66;1.10;
32.3590;-0.56;0.99;
32.3600;-0.61;1.43;
32.3610;-1.00;2.30;
32.3620;-1.02;2.45;
32.3630;-0.88;2.11;
32.3640;-0.69;1.53;
32.3650;-0.49;1.17;
32.3660;-0.39;0.72;
32.3670;-0.34;0.08;
32.3680;0.05;-0.44;
32.3690;0.07;-0.79;
32.3700;0.14;-1.01;
32.3710;-0.10;-0.39;
32.3720;-0.31;0.08;
32.3730;-0.29;0.10;
32.3740;-0.42;0.33;
32.3750;-0.24;0.50;
32.3760;-0.49;0.62;
32.3770;-0.47;0.72;
32.3780;-0.58;0.99;
32.3790;-0.37;1.10;
32.3800;-0.53;1.45;
32.3810;-0.85;2.22;
32.3820;-0.86;2.49;
32.3830;-1.04;2.11;
32.3840;-0.62;1.50;
32.3850;-0.58;1.03;
32.3860;-0.41;0.87;
32.3870;-0.26;0.19;
32.3880;0.05;-0.40;
32.3890;0.17;-0.92;
32.3900;0.15;-1.12;
32.3910;-0.02;-0.31;
32.3920;-0.26;-0.00;
32.3930;-0.18;0.17;
32.3940;-0.19;0.46;
32.3950;-0.23;0.50;
32.3960;-0.27;0.67;
32.3970;-0.23;0.89;
32.3980;-0.45;1.17;
32.3990;-0.22;0.95;
32.4000;-0.63;1.37;
32.4010;-1.04;2.34;
32.4020;-0.87;2.39;
32.4030;-0.81;2.09;
32.4040;-0.79;1.46;
32.4050;-0.57;0.99;
32.4060;-0.51;0.89;
32.4070;-0.46;0.09;
32.4080;-0.08;-0.60;
32.4090;0.06;-0.87;
32.4100;0.30;-0.99;
32.4110;-0.03;-0.28;
32.4120;-0.25;0.01;
32.4130;-0.18;0.22;
32.4140;-0.28;0.42;
32.4150;-0.31;0.45;
32.4160;-0.44;0.64;
32.4170;-0.38;0.79;
32.4180;-0.45;1.06;
32.4190;-0.55;0.98;
32.4200;-0.69;1.66;
32.4210;-0.83;2.24;
32.4220;-0.97;2.32;
32.4230;-0.90;2.14;
32.4240;-0.71;1.52;
32.4250;-0.57;1.02;
32.4260;-0.51;0.66;
32.4270;-0.36;0.23;
32.4280;0.02;-0.58;
32.4290;-0.01;-0.81;
32.4300;0.17;-0.92;
32.4310;-0.03;-0.50;
32.4320;-0.21;0.01;
32.4330;-0.34;-0.11;
32.4340;-0.37;0.41;
32.4350;-0.39;0.83;
32.4360;-0.44;0.82;
32.4370;-0.44;0.73;
32.4380;-0.65;0.96;
32.4390;-0.40;1.13;
32.4400;-0.63;1.58;
32.4410;-0.93;2.34;
32.4420;-0.96;2.37;
32.4430;-0.82;2.13;
32.4440;-0.64;1.44;
32.4450;-0.69;0.74;
32.4460;-0.69;0.51;
32.4470;-0.13;0.26;
32.4480;0.68;-0.13;
32.4490;0.38;-0.58;
32.4500;-0.35;-1.26;
32.4510;-0.31;-1.02;
32.4520;0.05;-0.54;
32.4530;-0.30;-0.33;
32.4540;-0.58;0.12;
32.4550;-0.27;0.25;
32.4560;-0.59;0.61;
32.4570;-0.25;1.25;
32.4580;1.01;1.85;
32.4590;0.57;1.29;
32.4600;-1.53;0.91;
32.4610;-1.90;1.30;
32.4620;-0.94;1.49;
32.4630;-0.86;1.53;
32.4640;-1.06;1.55;
32.4650;-0.83;1.26;
32.4660;-0.12;0.68;
32.4670;0.33;0.07;
32.4680;0.43;-0.36;
32.4690;0.36;-0.54;
32.4700;0.11;-0.96;
32.4710;-0.48;-0.30;
32.4720;-0.65;-0.39;
32.4730;-0.12;-0.42;
32.4740;0.21;0.38;
32.4750;-0.17;0.71;
32.4760;-0.53;0.76;
32.4770;-0.57;0.56;
32.4780;-0.53;0.95;
32.4790;-0.58;1.19;
32.4800;-0.42;1.77;
32.4810;-0.65;2.11;
32.4820;-0.81;2.13;
32.4830;-0.91;1.93;
32.4840;-0.58;1.38;
32.4850;-0.07;0.86;
32.4860;-1.15;1.05;
32.4870;-0.78;0.38;
32.4880;0.49;-0.70;
32.4890;0.97;-0.85;
32.4900;0.75;-0.58;
32.4910;-0.07;0.43;
32.4920;-0.16;-0.07;
32.4930;0.50;-0.13;
32.4940;-0.21;0.88;
32.4950;-1.30;0.85;
32.4960;-1.11;0.47;
32.4970;-0.61;0.51;
32.4980;-0.43;0.39;
32.4990;-0.43;0.15;
32.5000;-0.74;0.74;
32.5010;-1.42;1.78;
32.5020;-1.50;2.20;
32.5030;-1.13;1.73;
32.5040;-0.60;1.11;
32.5050;-0.46;1.65;
32.5060;-0.05;1.97;
32.5070;0.43;0.94;
32.5080;0.83;0.12;
32.5090;0.77;-0.25;
32.5100;0.41;-0.60;
32.5110;-0.12;-0.75;
32.5120;-0.42;-0.41;
32.5130;-0.50;-0.12;
32.5140;-0.44;0.31;
32.5150;-0.18;0.60;
