Time: 04.07.2022 11:04:06;
Team: Senior Men;
Athlete name: rfd;
Device: NORDIC02;
Comment: ;
#SampleTime[s];Force_left[N];Force_right[N];
0.3150;0.02;-0.31;
0.3160;0.33;-0.99;
0.3170;0.46;-1.28;
0.3180;0.43;-1.62;
0.3190;0.29;-0.92;
0.3200;0.25;-0.61;
0.3210;0.02;-0.46;
0.3220;0.02;-0.30;
0.3230;-0.02;-0.34;
0.3240;0.10;-0.10;
0.3250;0.03;0.18;
0.3260;-0.22;0.34;
0.3270;-0.12;0.37;
0.3280;-0.24;0.39;
0.3290;-0.39;1.24;
0.3300;-0.63;1.40;
0.3310;-0.44;1.28;
0.3320;-0.31;0.82;
0.3330;-0.17;0.24;
0.3340;-0.16;0.16;
0.3350;0.08;-0.50;
0.3360;0.26;-0.97;
0.3370;0.23;-1.24;
0.3380;0.40;-1.47;
0.3390;0.33;-1.07;
0.3400;0.23;-0.55;
0.3410;0.16;-0.52;
0.3420;0.15;-0.23;
0.3430;0.06;-0.32;
0.3440;0.01;-0.03;
0.3450;-0.07;0.13;
0.3460;-0.04;0.18;
0.3470;0.01;0.31;
0.3480;-0.12;0.70;
0.3490;-0.45;1.38;
0.3500;-0.59;1.49;
0.3510;-0.48;1.34;
0.3520;-0.26;0.88;
0.3530;-0.24;0.27;
0.3540;-0.24;-0.04;
0.3550;0.09;-0.37;
0.3560;0.18;-0.89;
0.3570;0.40;-1.29;
0.3580;0.55;-1.76;
0.3590;0.31;-0.98;
0.3600;0.18;-0.56;
0.3610;0.13;-0.56;
0.3620;0.04;-0.21;
0.3630;0.02;-0.25;
0.3640;-0.09;0.05;
0.3650;-0.17;0.04;
0.3660;-0.23;0.34;
0.3670;-0.00;0.35;
0.3680;-0.10;0.65;
0.3690;-0.43;1.33;
0.3700;-0.55;1.40;
0.3710;-0.51;1.41;
0.3720;-0.30;0.82;
0.3730;-0.27;0.45;
0.3740;-0.07;0.11;
0.3750;0.06;-0.53;
0.3760;0.27;-0.82;
0.3770;0.42;-1.26;
0.3780;0.55;-1.62;
0.3790;0.34;-0.97;
0.3800;0.13;-0.43;
0.3810;0.21;-0.44;
0.3820;0.06;-0.27;
0.3830;-0.22;-0.21;
0.3840;0.02;-0.12;
0.3850;0.11;0.07;
0.3860;-0.10;0.22;
0.3870;-0.15;0.31;
0.3880;-0.23;0.66;
0.3890;-0.32;1.29;
0.3900;-0.68;1.51;
